"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
1,1,1,1,2,5,4,4,3,1,1,1,1,2,1,"English","No","Employed part-time","Bachelor's degree","Married","Female","24 or younger","$40000 to $49999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","5","4","4","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
2,1,1,1,1,5,4,3,3,5,3,6,4,2,1,"English","No",NA,"University certificate below bachelor level","Living common law","Female","24 or younger","$40000 to $49999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","5","4","3","3","5","3","6","4"
3,1,1,3,1,2,1,1,1,4,5,5,1,1,1,NA,"No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Female","65 to 74","$175,000 to $199,999,",0,"No","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","5","5","Strongly Disagree"
4,1,1,1,1,1,3,4,2,1,1,1,1,1,2,"Spanish","No","Employed part-time","Bachelor's degree","Living common law","Male","65 to 74","$30000 to $39999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","4","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
5,1,1,3,1,1,1,1,1,7,3,4,5,1,1,"English","No","Not employed","High school diploma or certificate","Living common law","Male","55 to 64","$30000 to $39999",0,"No","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","7","3","4","5"
6,1,1,1,1,4,6,1,2,2,2,2,5,3,1,"French","No","Employed part-time","High school diploma or certificate","Living common law","Female","65 to 74","$175,000 to $199,999,",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","6","Strongly Disagree","2","2","2","2","5"
7,3,1,2,2,1,1,3,4,4,4,4,4,4,1,"English","No","Not employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Male","65 to 74","Less than $20,000",0,"No","3","Strongly Disagree","2","2","Strongly Disagree","Strongly Disagree","3","4","4","4","4","4"
8,3,1,3,1,4,4,3,4,5,4,7,9,3,2,"Spanish","No","Not employed","College diploma","Married","Male","25 to 34","$200,000 or more",0,"No","3","Strongly Disagree","3","Strongly Disagree","4","4","3","4","5","4","7","Strongly Agree"
9,1,1,1,2,2,1,1,4,4,1,7,5,5,1,"English","Yes","Fully employed","No certificate, diploma or degree","Living common law","Female","75 to 84","$40000 to $49999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","2","Strongly Disagree","Strongly Disagree","4","4","Strongly Disagree","7","5"
10,5,2,3,2,4,2,1,3,2,2,5,3,3,2,"English","No",NA,NA,NA,"Female","24 or younger","$30000 to $39999",0,"No","5","2","3","2","4","2","Strongly Disagree","3","2","2","5","3"
11,3,1,1,1,1,1,1,1,3,2,4,4,3,1,"English","Yes","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","24 or younger","$30000 to $39999",0,"No","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","2","4","4"
12,4,3,1,1,3,3,1,2,4,1,4,3,2,1,"English","No","Employed part-time","High school diploma or certificate",NA,"Male","24 or younger","$100000 to $149999",0,"No","4","3","Strongly Disagree","Strongly Disagree","3","3","Strongly Disagree","2","4","Strongly Disagree","4","3"
13,2,3,1,1,1,1,1,1,3,4,3,3,1,3,"English","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","35 to 44","$40000 to $49999",0,"No","2","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","4","3","3"
14,5,1,1,3,1,2,1,2,3,6,3,1,4,2,NA,"Yes","Fully employed","trades certificate","Married",NA,"24 or younger","$50000 to $59999",0,"No","5","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2","Strongly Disagree","2","3","6","3","Strongly Disagree"
15,4,1,2,1,5,4,1,1,3,6,4,4,3,3,"French","No","Employed part-time","High school diploma or certificate","Married","Female","25 to 34","$80000 to $89999",0,"No","4","Strongly Disagree","2","Strongly Disagree","5","4","Strongly Disagree","Strongly Disagree","3","6","4","4"
16,5,2,3,1,2,1,1,4,6,4,7,5,4,3,"English","No","Employed part-time","High school diploma or certificate","Living common law",NA,"65 to 74","$150,000 to $174,999",0,"No","5","2","3","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","4","6","4","7","5"
17,3,1,1,1,1,1,1,1,5,1,2,1,2,1,"French","No","Not employed","College diploma","Living common law","Male","45 to 54","$30000 to $39999",0,"No","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","5","Strongly Disagree","2","Strongly Disagree"
18,5,2,1,1,5,3,1,3,1,2,4,6,1,3,"German","Yes","Employed part-time","Master's degree","Married",NA,"25 to 34","$30000 to $39999",0,"No","5","2","Strongly Disagree","Strongly Disagree","5","3","Strongly Disagree","3","Strongly Disagree","2","4","6"
19,3,2,1,1,1,1,1,1,1,1,1,1,2,1,"English","No","Not employed","College diploma","Married","Male","35 to 44","$90000 to $99999",0,"No","3","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
20,4,1,1,4,1,1,1,1,2,1,1,1,2,1,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Female","25 to 34","$60000 to $69999",0,"No","4","Strongly Disagree","Strongly Disagree","4","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree"
21,4,2,1,1,6,2,3,5,3,1,1,3,1,2,"English","No","Employed part-time","University certificate below bachelor level","Married","Female","55 to 64","$30000 to $39999",0,"No","4","2","Strongly Disagree","Strongly Disagree","6","2","3","5","3","Strongly Disagree","Strongly Disagree","3"
22,1,1,1,1,2,1,1,3,1,1,1,4,1,1,"Spanish","Yes","Employed part-time","Bachelor's degree","Living common law","Female","24 or younger","$60000 to $69999",0,"No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","4"
