"RID","ClustSeg","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
1,"Seg2",1,1,1,2,5,4,4,3,1,1,1,1,2,1,"English","No","Employed part-time","Bachelor's degree","Married","Female","24 or younger","$40000 to $49999","0","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","5","4","4","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
2,"Seg5",1,1,1,1,5,4,3,3,5,3,6,4,2,1,"English","No",,"University certificate below bachelor level","Living common law","Female","24 or younger","$40000 to $49999","0","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","5","4","3","3","5","3","6","4"
3,"Seg2",1,1,3,1,2,1,1,1,4,5,5,1,1,1,,"No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Female","65 to 74","$175,000 to $199,999,","0","No","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","5","5","Strongly Disagree"
4,"Seg2",1,1,1,1,1,3,4,2,1,1,1,1,1,2,"Spanish","No","Employed part-time","Bachelor's degree","Living common law","Male","65 to 74","$30000 to $39999","0","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","4","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
5,"Seg5",1,1,3,1,1,1,1,1,7,3,4,5,1,1,"English","No","Not employed","High school diploma or certificate","Living common law","Male","55 to 64","$30000 to $39999","0","No","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","7","3","4","5"
6,"Seg5",1,1,1,1,4,6,1,2,2,2,2,5,3,1,"French","No","Employed part-time","High school diploma or certificate","Living common law","Female","65 to 74","$175,000 to $199,999,","0","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","4","6","Strongly Disagree","2","2","2","2","5"
7,"Seg5",3,1,2,2,1,1,3,4,4,4,4,4,4,1,"English","No","Not employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Male","65 to 74","Less than $20,000","0","No","3","Strongly Disagree","2","2","Strongly Disagree","Strongly Disagree","3","4","4","4","4","4"
8,"Seg5",3,1,3,1,4,4,3,4,5,4,7,9,3,2,"Spanish","No","Not employed","College diploma","Married","Male","25 to 34","$200,000 or more","0","No","3","Strongly Disagree","3","Strongly Disagree","4","4","3","4","5","4","7","Strongly Agree"
9,"Seg5",1,1,1,2,2,1,1,4,4,1,7,5,5,1,"English","Yes","Fully employed","No certificate, diploma or degree","Living common law","Female","75 to 84","$40000 to $49999","0","No","Strongly Disagree","Strongly Disagree","Strongly Disagree","2","2","Strongly Disagree","Strongly Disagree","4","4","Strongly Disagree","7","5"
10,"Seg5",5,2,3,2,4,2,1,3,2,2,5,3,3,2,"English","No",,,,"Female","24 or younger","$30000 to $39999","0","No","5","2","3","2","4","2","Strongly Disagree","3","2","2","5","3"
11,"Seg2",3,1,1,1,1,1,1,1,3,2,4,4,3,1,"English","Yes","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","24 or younger","$30000 to $39999","0","No","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","2","4","4"
12,"Seg5",4,3,1,1,3,3,1,2,4,1,4,3,2,1,"English","No","Employed part-time","High school diploma or certificate",,"Male","24 or younger","$100000 to $149999","0","No","4","3","Strongly Disagree","Strongly Disagree","3","3","Strongly Disagree","2","4","Strongly Disagree","4","3"
13,"Seg2",2,3,1,1,1,1,1,1,3,4,3,3,1,3,"English","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","35 to 44","$40000 to $49999","0","No","2","3","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","3","4","3","3"
14,"Seg5",5,1,1,3,1,2,1,2,3,6,3,1,4,2,,"Yes","Fully employed","trades certificate","Married",,"24 or younger","$50000 to $59999","0","No","5","Strongly Disagree","Strongly Disagree","3","Strongly Disagree","2","Strongly Disagree","2","3","6","3","Strongly Disagree"
15,"Seg5",4,1,2,1,5,4,1,1,3,6,4,4,3,3,"French","No","Employed part-time","High school diploma or certificate","Married","Female","25 to 34","$80000 to $89999","0","No","4","Strongly Disagree","2","Strongly Disagree","5","4","Strongly Disagree","Strongly Disagree","3","6","4","4"
16,"Seg5",5,2,3,1,2,1,1,4,6,4,7,5,4,3,"English","No","Employed part-time","High school diploma or certificate","Living common law",,"65 to 74","$150,000 to $174,999","0","No","5","2","3","Strongly Disagree","2","Strongly Disagree","Strongly Disagree","4","6","4","7","5"
